GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "00000","United States", ,SAEXP1,1,"...","Personal consumption expenditures","Millions of current dollars",5534091.8,5874285.0,6275655.2,6758605.7,7061876.3,7338427.6,7717658.4,8206825.4,8741177.6,9253947.4,9699133.5,9968412.9,9833212.0,10177464.5,10631511.2,10997927.0,11309307.3,11814798.4,12290166.3,12762930.6,13333393.5,13982899.0,14533254.0
 "00000","United States", ,SAEXP1,2,"..."," Goods","Millions of current dollars",2003807.2,2105476.2,2283638.6,2449633.7,2521835.1,2594546.2,2717146.9,2896184.3,3076982.5,3233258.1,3359733.4,3355303.7,3171025.7,3309453.5,3508522.9,3628852.0,3722069.7,3855001.8,3915678.3,3991320.6,4165294.4,4361471.7,4500860.9
 "00000","United States", ,SAEXP1,3,"...","  Durable goods","Millions of current dollars",715529.6,779293.4,855568.3,912571.8,941515.1,985368.1,1017800.6,1080574.3,1128610.2,1158333.1,1188043.0,1098760.6,1012121.3,1048962.5,1093498.8,1144221.0,1189413.3,1242075.5,1307605.2,1350222.4,1410678.3,1481551.7,1534351.3
 "00000","United States", ,SAEXP1,4,"...","   Motor vehicles and parts","Millions of current dollars",293082.5,320204.7,350730.2,363227.6,383289.5,401346.5,401518.3,409310.9,409954.2,394949.3,400573.0,343337.2,318583.1,344466.2,365178.4,396607.9,417533.0,441992.0,475346.0,485553.6,503642.6,523226.5,521845.9
 "00000","United States", ,SAEXP1,5,"...","   Furnishings and durable household equipment","Millions of current dollars",160490.2,173579.1,191184.9,208105.7,214940.1,225868.3,235161.0,254310.4,271273.5,283597.6,283457.6,264348.6,238275.2,240924.2,246861.8,253938.0,263589.7,276166.5,294219.7,309367.1,324744.9,343326.3,357440.3
 "00000","United States", ,SAEXP1,6,"...","   Recreational goods and vehicles","Millions of current dollars",174632.0,191359.7,210921.5,230858.6,234933.1,244773.3,259466.2,284842.1,306400.9,326319.7,339189.9,328061.1,297516.5,298612.2,305352.7,311821.3,321560.9,329928.0,336482.1,351429.7,374173.3,399002.7,433364.4
 "00000","United States", ,SAEXP1,7,"...","   Other durable goods","Millions of current dollars",87324.8,94149.8,102731.7,110380.0,108352.4,113379.9,121655.2,132110.9,140981.6,153466.5,164822.6,163013.7,157746.5,164959.9,176105.9,181853.7,186729.7,193989.0,201557.4,203872.0,208117.4,215996.3,221700.7
 "00000","United States", ,SAEXP1,8,"...","  Nondurable goods","Millions of current dollars",1288277.7,1326182.8,1428070.3,1537061.9,1580319.9,1609178.1,1699346.2,1815610.1,1948372.3,2074925.0,2171690.4,2256543.0,2158904.4,2260491.0,2415024.2,2484631.0,2532656.3,2612926.3,2608073.1,2641098.2,2754616.1,2879919.9,2966509.6
 "00000","United States", ,SAEXP1,9,"...","   Food and beverages purchased for off-premises consumption","Millions of current dollars",474777.2,487437.0,515530.4,540578.4,564002.8,575052.2,599580.2,632604.5,668216.1,700260.4,737332.0,769085.5,772929.7,786866.1,819542.4,846198.0,863994.0,896855.4,920955.4,939860.5,970152.7,998796.4,1025661.7
 "00000","United States", ,SAEXP1,10,"...","   Clothing and footwear","Millions of current dollars",247496.1,257805.3,271096.9,280831.4,277868.4,278834.8,285295.5,297379.6,310509.3,320022.8,323474.1,317372.5,304042.6,316611.3,332585.6,345219.5,350533.1,360750.6,368734.4,376363.7,379964.6,394236.8,403465.8
